window,test_start,mom_12_1,mom_6_1,rev_1m,vol_3m,pct_52w_high
0,2015-11-12,0.028464255944111467,-0.013937292987029023,0.017805651481672607,0.05908960601930872,-0.03754225465138239
1,2016-05-06,-0.12616643953126308,0.05270599857985243,0.051298641156935124,-0.30530350141353196,0.2710139941870978
2,2016-10-31,0.12398329341924787,0.05630223562982663,-0.057167555361498104,-0.14424068414065636,0.10234897700860468
3,2017-04-25,0.09966701508796535,0.06737674045259485,-0.01875476874087599,-0.20536480592051579,0.11960465208589686
4,2017-10-18,0.24904404662670845,0.15343724226747288,-0.033464763139672844,-0.2700785491560707,0.2407220700635538
5,2018-04-12,-0.15536370332146937,-0.09991708455170528,-0.03721977445233905,0.14615523712495093,-0.1645351221900263
6,2018-10-05,-0.09159819526588074,0.07758327930598005,0.061599121449079766,0.12619598918570857,-0.10027806323003483
7,2019-04-01,0.07136153340654589,-0.06106855078791727,-0.016369626483547017,0.15139214155607597,-0.0973883165426696
8,2019-09-24,-0.021256345457512454,-0.09508461345082628,0.043836691850028885,0.020752237173465297,0.014593237635879528
9,2020-03-18,-0.10695475374552897,-0.05215734529432778,0.037946607743773626,-0.08227197149119904,0.04342033250361796
10,2020-09-10,-0.057626236564830624,0.11523262634682477,-0.012393654321967743,-0.11474483652866536,0.05575843378010647
11,2021-03-05,-0.03108359023891116,-0.09366975835439298,0.08614165310469842,-0.04389446804006405,-0.023458136635801076
12,2021-08-30,-0.06983244904889806,-0.12873196699259493,-0.04009535276553893,0.13777283813404956,-0.1592428147821004
13,2022-02-22,-0.0860102232983589,-0.05434666596100327,0.04567582705954477,-0.00982062918711988,-0.03642177954374863
14,2022-08-17,-0.0010562898865205058,-0.0725532224559732,0.02818684202401902,0.11187410965126995,-0.08619696060253977
